"name";"lat";"lon"
"sch business";42,85544945;-73,92842767
"univ bourgogne franche comte";47,3116927;5,072100238
"operat and res";42,3359876;-83,04730254
"halmstad univ";56,66340325;12,87929727
"univ pacifico";40,40726775;-3,686167524
"hosp italiano buenos aires";-34,6078588;-58,42367766
"univ los andes";-38,0054833;-57,57104064
"belarusian state univ";53,8383567;27,47646715
"mgimo univ";55,6580693;37,47647702
"univ west indies";13,134724;-59,63023586
"bahauddin zakariya univ multan";30,26679265;71,5061073
"riga tech univ";56,9380884;24,1561857
"royal north shore hosp";-33,8214111;151,1911404
"xian univ";51,7520849;-1,251664602
"sunmoon univ";16,87631175;96,11979168
"univ union";38,55961235;-121,422315
"univ pompeu fabra";41,73670575;1,825325731
"walter reed natl mil med ctr";39,00196695;-77,09331769
"politecnico milano";45,4786583;9,2261817
"vrije univ";52,33396225;4,865196501
"ulm univ";37,936437;-88,6094993
"cornell tech";40,7408744;-74,0020561
"open univ japan";-7,9022618;111,4922981
"bennett univ";28,45061085;77,58391182
"banasthali univ";27,6812383;85,287117
"galgotias univ";28,3656953;77,5409957
"engie lab";48,9241911;2,352840468
"univ agder uia";58,16308805;8,001449655
"univ maryland";38,9859688;-76,94510053
"glenn res ctr";39,5912766;-122,3778662
"ecole polytech";50,42340395;9,322264769
"res and dev div";5,9975657;10,44455
"german univ cairo";29,9870183;31,4417497
"univ buffalo suny";42,9949356;-78,79522129
"ibm res australia";-27,4655161;153,0243224
"univ toulouse";30,1781816;-93,2360581
"kassel univ";51,2828888;9,448993029
"kookmin univ";37,61147915;126,9964688
"koc univ";41,20315895;29,07286536
"radboud univ nijmegen";51,82151725;5,863403443
"univ evora";38,56834895;-7,910602849
"southern fed univ";22,28269745;114,138455
"ecole tech super";58,69217295;-156,6584607
"babes bolyai univ cluj napoca";46,7677836;23,59197655
"univ presov presov";48,98944555;21,23500423
"nusa putra univ";-6,9883635;110,4169044
"sungkyunkwan univ skku";37,5870453;126,9907693
"indian inst tech guwahati";26,19247875;91,69463569
"lawrence berkeley natl lab";37,80844735;-122,2674965
"northwest normal univ";36,0982481;103,733089
"univ basque country upv ehu";43,327038;-3,022819775
"univ rennes";48,11618185;-1,702365088
